+-------------------------------------------------------------------------+--------+----------+--------+----------------+--------+------------------+
|                                  文件名                                 | 原类名 | 预测类名 | 类别1  |     概率1      | 类别2  |      概率2       |
|             [政治]【外交】【张德江】张德江马特维延科出席.txt            | 01政治 |  01政治  | 03国际 | 0.649338792193 | 03国际 | 0.0838179784728  |
|         [政治]【外交】【彭丽媛】彭丽媛邀外方政要夫人参观首博.txt        | 01政治 |  01政治  | 03国际 | 0.412997344037 | 04文化 |  0.140815564382  |
|                    【终端】联想的学霸是怎样炼成的.txt                   | 07科技 |  02经济  | 06法治 | 0.169584051004 | 03国际 |  0.134579360691  |
|                【乌克兰】乌拟从克撤军并考虑退出独联体.txt               | 03国际 |  03国际  | 03国际 | 0.530239557809 | 03国际 |  0.10699871996   |
|               【体育】【冬奥会】索契冬奥会的三道“猜想”.txt              | 08体育 |  08体育  | 01政治 | 0.495862958656 | 03国际 |  0.102628408402  |
|                    【TPP】霸权思维拗不过合作现实.txt                    | 02经济 |  01政治  | 03国际 | 0.200638901169 | 06法治 |  0.178222519997  |
|                     【涉嫌】反垄断不能只是“研究”.txt                    | 06法治 |  06法治  | 01政治 | 0.168511103792 | 06法治 |  0.167388442312  |
|                  【一中院】为为网诉苹果侵权索赔亿元.txt                 | 06法治 |  06法治  | 01政治 | 0.223001648474 | 06法治 |  0.152211827877  |
|                      【F1】马青骅加盟雪铁龙车队.txt                     | 08体育 |  08体育  | 01政治 | 0.46085772126  | 06法治 | 0.0912777584261  |
|         [政治]【外交】【习近平】习近平与卡梅伦在乡间别墅长谈.txt        | 01政治 |  01政治  | 03国际 | 0.503610066412 | 03国际 | 0.0986022997805  |
|                     【公交】13路驾驶员编防扒宝典.txt                    | 05社会 |  05社会  | 06法治 | 0.217703637189 | 01政治 |  0.14729119952   |
|                   【司法】上海全面推进司法改革试点.txt                  | 06法治 |  06法治  | 01政治 | 0.430995915675 | 03国际 |  0.154355002432  |
|                   【涉嫌】“小三”举报“小四”揪出窝案.txt                  | 06法治 |  06法治  | 01政治 | 0.190148613804 | 06法治 |  0.138981062458  |
|             【一带一路】【经济】“一带一路”：欧亚的新机遇.txt            | 02经济 |  02经济  | 06法治 | 0.146479332744 | 03国际 |  0.141997021606  |
|                     【日本】日媒曝日朝在越南密会.txt                    | 03国际 |  03国际  | 03国际 | 0.546982413581 | 03国际 |  0.141617970219  |
|                     【公开赛】都市台球大联赛开杆.txt                    | 08体育 |  08体育  | 01政治 | 0.847702000337 | 04文化 | 0.0363398189319  |
|                       Ⅰ级食品风险监测95.6%合格.txt                      | 05社会 |  02经济  | 06法治 | 0.180571239389 | 01政治 |  0.143397891079  |
|                   【俄罗斯】俄总统为俄美关系“定调”.txt                  | 03国际 |  03国际  | 03国际 | 0.639354164677 | 03国际 |  0.138863745077  |
|          [政治]【外交】任何力量都不能动摇中国和平发展的信念.txt         | 01政治 |  01政治  | 03国际 | 0.359523381916 | 03国际 |  0.119239591532  |
|                 【司法】齐齐哈尔市委原秘书长移送司法.txt                | 06法治 |  06法治  | 01政治 | 0.343719729497 | 03国际 |  0.185137042528  |
|                  【交易】银联卡ATM跨行转账全面开通.txt                  | 02经济 |  02经济  | 06法治 | 0.161827620003 | 01政治 |  0.152061859209  |
|                【剧团】国际木偶艺术节 首次开卖公益票.txt                | 04文化 |  04文化  | 04文化 | 0.216263042164 | 01政治 |  0.144952837647  |
|          【企业】2014年度上海中小企业 融资服务优秀合作伙伴.txt          | 02经济 |  02经济  | 06法治 | 0.227125263445 | 04文化 |  0.216988001824  |
|      【兜售】兜售假名表称为女筹手术费 缓刑期内重操旧业被判入狱.txt      | 06法治 |  06法治  | 01政治 | 0.318871415339 | 03国际 |  0.108584698083  |
|         【举办】【展】手稿文献交上图收藏  捐赠仪式展叶氏幽默.txt        | 04文化 |  04文化  | 04文化 | 0.26781556218  | 03国际 |  0.120772409695  |
|                    【企业】“吃企业”缘于权力加侥幸.txt                   | 02经济 |  02经济  | 06法治 | 0.167198626555 | 01政治 |   0.1572608839   |
|                       “中国梦·我的梦”主题演讲.txt                       | 04文化 |  04文化  | 04文化 | 0.290960489475 | 01政治 |  0.152394361551  |
|                  【产量】“金九”车市：名不虚传成色足.txt                 | 02经济 |  02经济  | 06法治 | 0.333904465899 | 06法治 |  0.106634209106  |
|            【核射线】核射线检查辐射计量 远低于X光和CT检查.txt           | 07科技 |  01政治  | 03国际 | 0.176578446815 | 06法治 |  0.155430504992  |
|                  【侵权】微信朋友圈里辱骂他人也侵权.txt                 | 06法治 |  06法治  | 01政治 | 0.25418898356  | 06法治 |  0.132255490759  |
|                    【日本】日官民应对监听有“温差”.txt                   | 03国际 |  03国际  | 03国际 | 0.401934392098 | 03国际 |  0.112569891561  |
|                 【3D打印】普利生3D打印速度10倍于同行.txt                | 07科技 |  04文化  | 04文化 | 0.163977194951 | 06法治 |  0.147464323675  |
|                  【安倍】安倍宣布将解散众院提前大选.txt                 | 03国际 |  03国际  | 03国际 | 0.624444703958 | 03国际 | 0.0712189010926  |
|                     【公安部】正确看待不动产登记.txt                    | 06法治 |  02经济  | 06法治 | 0.147855315201 | 03国际 |  0.141135719187  |
|            [政治]【外交】【会见】支持阿人民选择的发展道路.txt           | 01政治 |  01政治  | 03国际 | 0.624924589816 | 03国际 | 0.0879807387506  |
|                     【受贿】谷俊山一审被判处死缓.txt                    | 06法治 |  06法治  | 01政治 | 0.368933324945 | 03国际 |  0.157683408037  |
|                    【文化】《德政之要》销量过万本.txt                   | 04文化 |  04文化  | 04文化 | 0.250756427887 | 03国际 |  0.132621957228  |
|              【CPI】【经济】首季度经济增速可能低于预期.txt              | 02经济 |  01政治  | 03国际 | 0.172544518001 | 06法治 |  0.171235665577  |
|                      【博物馆】上博将有“淘宝店”.txt                     | 04文化 |  04文化  | 04文化 | 0.181831943417 | 06法治 |  0.131600995315  |
|                  [政治]【外交】主动融入全球创新浪潮.txt                 | 01政治 |  01政治  | 03国际 | 0.241939850337 | 06法治 |  0.184627032726  |
|                      【北约】北约谋永久驻军东欧.txt                     | 03国际 |  03国际  | 03国际 | 0.444162539498 | 03国际 |  0.117262797735  |
|                【企业】自我管理服务，“我的地盘我做主”.txt               | 02经济 |  02经济  | 06法治 | 0.201862353131 | 03国际 |  0.166196848755  |
|                 【保税区】二手车牌拍卖：需使用满三年.txt                | 02经济 |  02经济  | 06法治 | 0.214622379528 | 01政治 |  0.157024234816  |
|                 【终端】沿着航路架基站万米高空可上网.txt                | 07科技 |  02经济  | 06法治 | 0.256047077404 | 03国际 |  0.122200313619  |
|                   【企业】国内优势企业“落沪”意愿强.txt                  | 02经济 |  02经济  | 06法治 | 0.212844548973 | 04文化 |  0.151053436905  |
|                【伊拉克】伊拉克危机令原油市场“绷紧弦”.txt               | 03国际 |  03国际  | 03国际 | 0.255870802369 | 06法治 |  0.141534488247  |
|                     【世界杯】鏖战前的黎明静悄悄.txt                    | 08体育 |  08体育  | 01政治 | 0.314794063847 | 03国际 |  0.111361733819  |
|                       32批次充电宝安全都有问题.txt                      | 06法治 |  02经济  | 06法治 | 0.176642307985 | 03国际 |  0.15644196311   |
|              【涉嫌】瑞海违法经营 审批监管“帮助”“放纵”.txt              | 06法治 |  06法治  | 01政治 | 0.23715531728  | 06法治 |  0.148354789333  |
|                      【考察】【科学】“雪龙”归来.txt                     | 07科技 |  01政治  | 03国际 | 0.190466820205 | 03国际 |  0.169114291416  |
|            [政治]【外交】中拉跨洋再度握手双方梦想贴得更近.txt           | 01政治 |  01政治  | 03国际 |  0.239484755   | 03国际 |  0.173480541644  |
|               【出租车】电调接单量增加 监督困局仍待解.txt               | 05社会 |  05社会  | 06法治 | 0.250384200825 | 01政治 |  0.136986368674  |
| 【出租车】乘客投诉媒体报道，的哥遭辞退 认定拒载证据不足，公司被判赔.txt | 05社会 |  06法治  | 01政治 | 0.250474884539 | 06法治 |  0.164599783082  |
|                   【图书】查阅敦煌遗书原件最多的人.txt                  | 04文化 |  04文化  | 04文化 | 0.155065577277 | 03国际 |  0.136301148626  |
|                    【上市】【车】中华V3智能型上市.txt                   | 02经济 |  02经济  | 06法治 | 0.241655017906 | 01政治 |  0.142902073931  |
|                 【业务】把党组织触角伸到小微物流企业.txt                | 02经济 |  02经济  | 06法治 | 0.190395195892 | 04文化 |  0.146826513667  |
|     [政治]【外交】【张高丽】中国—东盟博览会开幕 张高丽出席并演讲.txt    | 01政治 |  01政治  | 03国际 | 0.741788708608 | 03国际 | 0.0607832495483  |
|                     【影视】当下的创作需敬畏之心.txt                    | 04文化 |  04文化  | 04文化 | 0.294062748843 | 03国际 |  0.129331186461  |
|                【军事】【美军】美称打击IS可能持续数年.txt               | 09军事 |  03国际  | 03国际 | 0.57438222759  | 03国际 | 0.0798725600664  |
|                     【80后】“做个有情怀的创业者”.txt                    | 05社会 |  02经济  | 06法治 | 0.16779972416  | 06法治 |  0.14006898564   |
|                             “老爷有钱!”.txt                             | 05社会 |  04文化  | 04文化 | 0.135049249907 | 01政治 |  0.133995145471  |
|            【开幕】“象随心生”当代艺术展在上海开幕（照片）.txt           | 04文化 |  04文化  | 04文化 | 0.567869422212 | 01政治 | 0.0982298509573  |
|                     “小邓丽君”江琴本周六登台艺海.txt                    | 04文化 |  04文化  | 04文化 | 0.240496707539 | 01政治 |  0.194500002062  |
|               【日本】日本凭啥说“解禁”能让亚洲“更安全”.txt              | 03国际 |  03国际  | 03国际 | 0.430177219968 | 03国际 |  0.156002183919  |
|                 [政治]【外交】深化上合成员国交流合作.txt                | 01政治 |  01政治  | 03国际 | 0.358712614366 | 04文化 |  0.154258821341  |
|                            【F1】革新之作.txt                           | 08体育 |  02经济  | 06法治 | 0.249296308473 | 06法治 |  0.114680086335  |
|                 【上市】【车】东南点燃V系“热点”风暴.txt                 | 02经济 |  02经济  | 06法治 | 0.330937890379 | 04文化 |  0.106035378669  |
|                  【《】【书】翰海拍卖会精品在沪巡展.txt                 | 04文化 |  04文化  | 04文化 | 0.26901536368  | 03国际 |  0.11650977288   |
|                   【人大】上下联动提高人大履职质量.txt                  | 01政治 |  01政治  | 03国际 | 0.449686598395 | 01政治 |  0.115214549206  |
|            【文化】【抗战】蘸米汤写入党申请，涂碘酒才能读.txt           | 09军事 |  01政治  | 03国际 | 0.138109397996 | 03国际 |  0.136326735456  |
|                  【中央】【领导】巡视办开展专项检查.txt                 | 01政治 |  01政治  | 03国际 | 0.437030423656 | 01政治 |  0.120469758039  |
|                  【盗窃】最新实用对联大全最终稿txt.txt                  | 06法治 |  03国际  | 03国际 | 0.132919379003 | 01政治 |  0.131497239256  |
|                       【NBA】科比加冕“打铁王”.txt                       | 08体育 |  08体育  | 01政治 | 0.339583700626 | 03国际 |  0.107688729792  |
|                   【世锦赛】宁泽涛走上交大励志讲坛.txt                  | 08体育 |  08体育  | 01政治 | 0.262804958151 | 03国际 |  0.124317832677  |
|                      “千万人帮万家”迎春募捐帮困.txt                     | 05社会 |  04文化  | 04文化 | 0.157762617178 | 06法治 |  0.148903096323  |
|                【群租】这些投诉，是真结案还是假承诺？.txt               | 06法治 |  06法治  | 01政治 | 0.211912560222 | 03国际 |  0.139921365104  |
|         【国际】【美国】又想当“老大”又想少冒险，美国可信么？.txt        | 03国际 |  03国际  | 03国际 | 0.419459827489 | 03国际 |  0.109554397838  |
|                       9月起试行私家车6年内免检.txt                      | 06法治 |  06法治  | 01政治 | 0.152827074992 | 06法治 |  0.151702425496  |
|              【执法】锅炉清洁能源替代 将每半月通报一次.txt              | 06法治 |  01政治  | 03国际 | 0.172042646607 | 01政治 |  0.154831923563  |
|                 【伊朗】“核谈”前夕，美亮明六条“底线”.txt                | 03国际 |  03国际  | 03国际 | 0.417365553435 | 03国际 |  0.113595544507  |
|                  【展览】一个人的展览，一世纪的印痕.txt                 | 04文化 |  04文化  | 04文化 | 0.193139784123 | 01政治 |  0.133135781157  |
|            [政治]【外交】【会见】刘延东会见刚果共和国总统.txt           | 01政治 |  01政治  | 03国际 | 0.711537132141 | 03国际 | 0.0655448285801  |
|               【军事】【美军】IS鼓动对美发动“独狼”袭击.txt              | 09军事 |  03国际  | 03国际 | 0.530969261869 | 03国际 | 0.0814138070356  |
|                  “留洋计划”落地 张呈栋成西甲第一人.txt                  | 08体育 |  08体育  | 01政治 | 0.413064083028 | 03国际 |  0.104189789916  |
|                       【人大】重视备案审查工作.txt                      | 01政治 |  01政治  | 03国际 | 0.329767399903 | 01政治 |  0.162906673193  |
|       【文化】【抗战】我国首次公布民国时期八路军新四军抗战档案.txt      | 09军事 |  04文化  | 04文化 | 0.153783247497 | 03国际 |  0.153557822762  |
|                    【上市】2014款雪佛兰迈锐宝上市.txt                   | 02经济 |  02经济  | 06法治 | 0.34721325281  | 06法治 |  0.104342545245  |
|                       【涉嫌】郭美美被提起公诉.txt                      | 06法治 |  06法治  | 01政治 | 0.385978275301 | 03国际 |  0.125409374976  |
|            【宣判】首个跨行政区划法院 第一槌判了“民告官”.txt            | 06法治 |  06法治  | 01政治 | 0.362245370915 | 03国际 |  0.105448983507  |
|          【二审】驾照扣满12分依然上路 碰撞出人命保险不理赔.txt          | 06法治 |  06法治  | 01政治 | 0.512060056419 | 06法治 | 0.0840498567343  |
|                     【世界杯】“晚杰不保”的倒霉蛋.txt                    | 08体育 |  08体育  | 01政治 | 0.319680492325 | 03国际 |  0.112415468483  |
|                 【公务员】国考岗位增了 报考人数降了.txt                 | 01政治 |  01政治  | 03国际 | 0.235988065458 | 03国际 |  0.127132395941  |
|                 【交易】平行进口诱惑大阿里开卖海淘车.txt                | 02经济 |  02经济  | 06法治 | 0.206583512779 | 06法治 |  0.129738853414  |
|                  【法院】携带5件行李  少女登机遭拒.txt                  | 06法治 |  06法治  | 01政治 | 0.247470425222 | 04文化 |  0.118379701554  |
|                   【产业互联网】网络时代招商拼什么.txt                  | 02经济 |  02经济  | 06法治 | 0.210483719608 | 04文化 |  0.130077281726  |
|                       【《】【艺术】百年杜拉斯.txt                      | 04文化 |  04文化  | 04文化 | 0.362848017778 | 01政治 |  0.147927591883  |
|                    【犯罪】刘汉刘维涉黑案继续开庭.txt                   | 06法治 |  06法治  | 01政治 | 0.321174839156 | 03国际 |  0.130345840658  |
|                   【儿童】儿童白血病治愈率有望提升.txt                  | 05社会 |  05社会  | 06法治 | 0.191770134842 | 06法治 |  0.12940162853   |
|                         上海大鲨鱼新年开门红.txt                        | 08体育 |  08体育  | 01政治 | 0.461734637247 | 04文化 | 0.0923470066546  |
|                   [政治]【外交】上海日惹签合作协议.txt                  | 01政治 |  01政治  | 03国际 | 0.273237422607 | 04文化 |  0.239157218462  |
|                        世界极限运动大赛将揭幕.txt                       | 08体育 |  08体育  | 01政治 | 0.414829929102 | 04文化 |  0.200531002169  |
|                 【锦标赛】“奥迪印象”系列讲座登陆申城.txt                | 08体育 |  08体育  | 01政治 | 0.375947423907 | 06法治 |  0.228025437832  |
|                   【中东】中东问题专家论“一带一路”.txt                  | 03国际 |  03国际  | 03国际 | 0.183441626018 | 03国际 |  0.166672292548  |
|                      “暖屋”邀请，敲开家门和心门.txt                     | 05社会 |  04文化  | 04文化 | 0.166540989451 | 06法治 |  0.140783653759  |
|                  【叙利亚】美称向土派战机保卫其领空.txt                 | 03国际 |  03国际  | 03国际 | 0.472353959993 | 03国际 |  0.113729128478  |
|              [政治]【外交】【张高丽】张高丽晤捷克领导人.txt             | 01政治 |  01政治  | 03国际 | 0.867428649606 | 03国际 | 0.0365222192575  |
|               【《】【艺术】新水墨艺术亮相朱屺瞻艺术馆.txt              | 04文化 |  04文化  | 04文化 | 0.380886134726 | 01政治 |  0.133724632407  |
|            [政治]【外交】【李克强】李克强同匈牙利总理通话.txt           | 01政治 |  01政治  | 03国际 | 0.764383161166 | 03国际 | 0.0660738110243  |
|              【文化】【抗战】关于抗战，你该知道这些事实.txt             | 09军事 |  03国际  | 03国际 | 0.178097633301 | 03国际 |  0.158765994627  |
|              【举办】【活动】捷豹路虎启动二手车置换活动.txt             | 04文化 |  04文化  | 04文化 | 0.19571856765  | 06法治 |  0.187829136323  |
|          【一审】招远涉邪教故意杀人案 一审２人死刑１人无期.txt          | 06法治 |  06法治  | 01政治 | 0.449936376774 | 03国际 |  0.134687410868  |
|                  【犯罪】查实：遵义市委书记严重违纪.txt                 | 06法治 |  06法治  | 01政治 | 0.585672517719 | 03国际 |  0.127695258372  |
|              【90后】手机贷：面向“90后”的在线信用卡中心.txt             | 05社会 |  02经济  | 06法治 | 0.167887042333 | 06法治 |  0.140150023463  |
|                      “打新”这道菜 还是那么香？.txt                      | 02经济 |  02经济  | 06法治 | 0.166425799685 | 01政治 |  0.129059391092  |
|                  【中医】让教授从“都上课”到“上好课”.txt                 | 05社会 |  05社会  | 06法治 | 0.157850014389 | 01政治 |  0.15362449634   |
|               【国际】【政治】迈出这一步  足足用了65年.txt              | 03国际 |  01政治  | 03国际 | 0.372184520415 | 03国际 |  0.171969414795  |
|                   【终端】看那些“黑科技”就像变魔法.txt                  | 07科技 |  02经济  | 06法治 | 0.185954683723 | 04文化 |  0.13965648526   |
|                     【快堆】我国掌握快堆核心技术.txt                    | 07科技 |  02经济  | 06法治 | 0.17959263923  | 03国际 |  0.162014686613  |
|                 【90后】网络时代，实体店怎么“刷颜值”.txt                | 05社会 |  02经济  | 06法治 | 0.147789150167 | 01政治 |  0.133674308772  |
|         【俞正声】切实维护团结稳定大局 继续抓好对口援疆工作.txt         | 01政治 |  01政治  | 03国际 | 0.517741757826 | 03国际 | 0.0799071326577  |
|                   【文化】103岁杨绛写《洗澡之后》.txt                   | 04文化 |  04文化  | 04文化 | 0.167984603646 | 01政治 |  0.128003946784  |
|                 【上市】【车】“中级车A咖”荣威360上市.txt                | 02经济 |  02经济  | 06法治 | 0.247204304499 | 06法治 |  0.112854152105  |
|                   【大师赛】小德：他是最好的费德勒.txt                  | 08体育 |  08体育  | 01政治 | 0.414570655285 | 04文化 |  0.107971445745  |
|                  【文化】《于无声处》属于光荣的1978.txt                 | 04文化 |  04文化  | 04文化 | 0.167454779805 | 01政治 |  0.135120538326  |
|             【俄罗斯】俄坚决谴责暴恐案  希望加强反恐合作.txt            | 03国际 |  01政治  | 03国际 | 0.497269457729 | 03国际 |  0.266451697852  |
|                      “启航·青年艺术家”周五启幕.txt                      | 04文化 |  04文化  | 04文化 | 0.290343643953 | 01政治 |  0.155756613587  |
|                  [政治]【外交】深化合作实现共同发展.txt                 | 01政治 |  01政治  | 03国际 | 0.477508580146 | 06法治 |  0.136165278992  |
|              【奥巴马】【美国】奥巴马为吸引外资出新举措.txt             | 03国际 |  03国际  | 03国际 | 0.259592348771 | 03国际 |  0.238175747744  |
|                   【举办】【活动】食住行办公全免费.txt                  | 04文化 |  05社会  | 06法治 | 0.163487883416 | 04文化 |  0.158913674692  |
|                 【马拉松】“550乡村马拉松”横沙站举行.txt                 | 08体育 |  08体育  | 01政治 | 0.346337176983 | 06法治 |  0.115348567025  |
|                       【企业】欣闻“海鸥”再振翅.txt                      | 02经济 |  02经济  | 06法治 | 0.162274635499 | 04文化 |  0.129589727872  |
|                   【辽宁舰】辽宁舰完成训练返航青岛.txt                  | 09军事 |  02经济  | 06法治 | 0.149153267153 | 03国际 |  0.138899596774  |
|                    【影视】“亲子阅读推广计划”启动.txt                   | 04文化 |  04文化  | 04文化 | 0.286598874187 | 01政治 |  0.165528717832  |
|                【传感】万元买来照相机 拍出相片总有灰.txt                | 07科技 |  06法治  | 01政治 | 0.207551771966 | 06法治 |  0.142805256068  |
|                     【上市】【车】全新Mazda CX-5.txt                    | 02经济 |  02经济  | 06法治 | 0.393597760222 | 06法治 |  0.102275456251  |
|                   【上交所】上交所“铺路”可交换债券.txt                  | 02经济 |  01政治  | 03国际 | 0.152688991938 | 01政治 |  0.152477291963  |
|                 【部队】专用红绿灯让战力驶上“快车道”.txt                | 09军事 |  03国际  | 03国际 | 0.132751719584 | 06法治 |  0.132158093619  |
|                 【大师赛】青少年网球嘉年华夏令营开营.txt                | 08体育 |  08体育  | 01政治 | 0.619373208736 | 04文化 |  0.146147752466  |
|                       “减龄秘方”，这样吃老得慢.txt                      | 05社会 |  05社会  | 06法治 | 0.142915888703 | 03国际 |  0.13074959892   |
|              【国际】【南美】加强金砖同南美两大市场对接.txt             | 03国际 |  01政治  | 03国际 | 0.449558903666 | 03国际 |  0.135518097848  |
|                 【涉嫌】拒绝安检掌掴民警还摔警用电台.txt                | 06法治 |  06法治  | 01政治 | 0.287398201974 | 04文化 |  0.12013218898   |
|                   【俄罗斯】女伴忆涅姆佐夫遇害一刻.txt                  | 03国际 |  03国际  | 03国际 | 0.252823171229 | 01政治 |  0.13122073102   |
|                           【联赛】联赛为本.txt                          | 08体育 |  08体育  | 01政治 | 0.600940995853 | 06法治 | 0.0608296221468  |
|                      【北约】北约新掌门正式履新.txt                     | 03国际 |  03国际  | 03国际 | 0.23001121466  | 03国际 |  0.175657401821  |
|                  【中央】新疆生产建设兵团成立60周年.txt                 | 01政治 |  01政治  | 03国际 | 0.42888658218  | 03国际 |  0.09978375355   |
|                    【低碳】“无车日”低碳一日游举行.txt                   | 05社会 |  08体育  | 01政治 | 0.221813466861 | 04文化 |  0.139518840021  |
|                【儿童】沃尔沃集团 交通安全小课堂开班.txt                | 05社会 |  04文化  | 04文化 | 0.161189332268 | 06法治 |  0.153085726309  |
|                    【法院】暴恐案定罪处罚标准明确.txt                   | 06法治 |  06法治  | 01政治 | 0.262035650818 | 03国际 |  0.169755682151  |
|             【上汽大通】上汽大通  首批快递专用车在沪交付.txt            | 02经济 |  02经济  | 06法治 | 0.322040623057 | 06法治 |  0.125919900768  |
|                    【企业】企业“私人订制”助残就业.txt                   | 02经济 |  08体育  | 01政治 | 0.169552133074 | 06法治 |  0.168153517231  |
|                    【法院】“工作可以让我忘掉疾病”.txt                   | 06法治 |  06法治  | 01政治 | 0.185972948905 | 06法治 |  0.129003127911  |
|        【东欧】【俄罗斯+乌克兰】如何对付俄“入侵”，欧盟伤脑筋.txt        | 03国际 |  03国际  | 03国际 | 0.592992707001 | 03国际 |  0.101390381516  |
|                【伊斯兰国】“伊斯兰国”又斩首一英国人质.txt               | 03国际 |  03国际  | 03国际 | 0.443720534676 | 03国际 |  0.103468722686  |
|            [政治]【外交】【李克强】李克强张德江分晤阿总统.txt           | 01政治 |  01政治  | 03国际 | 0.810684130599 | 03国际 |  0.048014677072  |
|                 【科普】三方合力提高公众自然保护意识.txt                | 07科技 |  04文化  | 04文化 | 0.321570252464 | 03国际 |  0.144559186069  |
|                    【伊拉克】伊逊尼派愿有条件入阁.txt                   | 03国际 |  03国际  | 03国际 | 0.459679878912 | 03国际 |  0.120138769457  |
|                     【公安局】不满延误冲闯停机坪.txt                    | 06法治 |  03国际  | 03国际 | 0.202974343004 | 01政治 |  0.202530485227  |
|                       【军事】【人物】不是童话.txt                      | 09军事 |  08体育  | 01政治 | 0.132162174706 | 04文化 |  0.131290649808  |
|                     中国足球，应该定格怎样的画面.txt                    | 08体育 |  08体育  | 01政治 | 0.577286208089 | 01政治 | 0.0724363745037  |
|                 【空军】提交新草案，中俄共倡外空和平.txt                | 09军事 |  03国际  | 03国际 | 0.215387465078 | 03国际 |  0.169799192894  |
|                【科创】科创中心建设需国资国企改革活力.txt               | 07科技 |  02经济  | 06法治 | 0.214712128786 | 04文化 |  0.165840539948  |
|                    【业务】在全国全面推进三网融合.txt                   | 02经济 |  01政治  | 03国际 | 0.196357618364 | 06法治 |  0.17442985296   |
|         【人大】十二届人大政协十二届三次会议3月5日3月3日开幕.txt        | 01政治 |  01政治  | 03国际 | 0.499750377266 | 04文化 |  0.124914017336  |
