+-------------------------------------------------------------------------+--------+----------+--------+--------------------+--------+-------------------+
|                                  文件名                                 | 原类名 | 预测类名 | 类别1  |       概率1        | 类别2  |       概率2       |
|                      【考察】【科学】“雪龙”归来.txt                     | 07科技 |  07科技  | 07科技 |  -0.127142772392   | 03国际 |   -0.76294332231  |
|            [政治]【外交】中拉跨洋再度握手双方梦想贴得更近.txt           | 01政治 |  01政治  | 03国际 |   -0.28961165978   | 03国际 |  -0.626426752857  |
|               【出租车】电调接单量增加 监督困局仍待解.txt               | 05社会 |  05社会  | 06法治 |   0.374933932983   | 01政治 |  -0.795936317668  |
| 【出租车】乘客投诉媒体报道，的哥遭辞退 认定拒载证据不足，公司被判赔.txt | 05社会 |  06法治  | 01政治 |  0.0370135987253   | 06法治 |  -0.203326409119  |
|                   【图书】查阅敦煌遗书原件最多的人.txt                  | 04文化 |  04文化  | 04文化 |  -0.458106891113   | 01政治 |  -0.722152812849  |
|                    【上市】【车】中华V3智能型上市.txt                   | 02经济 |  02经济  | 06法治 |  -0.176163883687   | 01政治 |  -0.660699160097  |
|                 【业务】把党组织触角伸到小微物流企业.txt                | 02经济 |  02经济  | 06法治 |  -0.0731736420425  | 04文化 |  -0.559510775969  |
|     [政治]【外交】【张高丽】中国—东盟博览会开幕 张高丽出席并演讲.txt    | 01政治 |  01政治  | 03国际 |   0.17586089554    | 04文化 |  -0.533606503885  |
|                     【影视】当下的创作需敬畏之心.txt                    | 04文化 |  04文化  | 04文化 |   0.226148785166   | 03国际 |  -0.373864700185  |
|                【军事】【美军】美称打击IS可能持续数年.txt               | 09军事 |  03国际  | 03国际 |   0.916481040697   | 01政治 |  -0.925167158422  |
|                     【80后】“做个有情怀的创业者”.txt                    | 05社会 |  02经济  | 06法治 |  -0.386457507495   | 06法治 |  -0.527845052641  |
|                             “老爷有钱!”.txt                             | 05社会 |  05社会  | 06法治 |  -0.532917339697   | 04文化 |  -0.638725143995  |
|            【开幕】“象随心生”当代艺术展在上海开幕（照片）.txt           | 04文化 |  04文化  | 04文化 |   1.16513902542    | 03国际 |   -0.86706106599  |
|                     “小邓丽君”江琴本周六登台艺海.txt                    | 04文化 |  04文化  | 04文化 | -0.000630637312204 | 01政治 |  -0.579751815472  |
|               【日本】日本凭啥说“解禁”能让亚洲“更安全”.txt              | 03国际 |  03国际  | 03国际 |   0.395727822568   | 03国际 |  -0.728251886379  |
|                 [政治]【外交】深化上合成员国交流合作.txt                | 01政治 |  01政治  | 03国际 |  -0.195304153294   | 04文化 |  -0.310730239915  |
|                            【F1】革新之作.txt                           | 08体育 |  02经济  | 06法治 |  -0.0550110890457  | 06法治 |   -0.74653009586  |
|                 【上市】【车】东南点燃V系“热点”风暴.txt                 | 02经济 |  02经济  | 06法治 |   0.137149498138   | 07科技 |  -0.737343325771  |
|                  【《】【书】翰海拍卖会精品在沪巡展.txt                 | 04文化 |  04文化  | 04文化 | -0.00364486946534  | 06法治 |  -0.785421856927  |
|                   【人大】上下联动提高人大履职质量.txt                  | 01政治 |  01政治  | 03国际 |   0.551654556316   | 04文化 |  -0.730311187149  |
|            【文化】【抗战】蘸米汤写入党申请，涂碘酒才能读.txt           | 09军事 |  05社会  | 06法治 |  -0.642803915745   | 04文化 |  -0.653480958768  |
|                  【中央】【领导】巡视办开展专项检查.txt                 | 01政治 |  01政治  | 03国际 |   0.578454798374   | 01政治 |  -0.805122659962  |
|                  【盗窃】最新实用对联大全最终稿txt.txt                  | 06法治 |  05社会  | 06法治 |  -0.588545107919   | 04文化 |  -0.672941407841  |
|                       【NBA】科比加冕“打铁王”.txt                       | 08体育 |  08体育  | 01政治 |   0.126497361903   | 06法治 |  -0.824814919998  |
|                   【世锦赛】宁泽涛走上交大励志讲坛.txt                  | 08体育 |  08体育  | 01政治 |  -0.403526955804   | 06法治 |  -0.606108484175  |
|                      “千万人帮万家”迎春募捐帮困.txt                     | 05社会 |  04文化  | 04文化 |  -0.506879846105   | 06法治 |  -0.549443090751  |
|                【群租】这些投诉，是真结案还是假承诺？.txt               | 06法治 |  06法治  | 01政治 | -0.00128855998701  | 06法治 |  -0.623390172653  |
|         【国际】【美国】又想当“老大”又想少冒险，美国可信么？.txt        | 03国际 |  03国际  | 03国际 |   0.527214956762   | 03国际 |  -0.864207688184  |
|                       9月起试行私家车6年内免检.txt                      | 06法治 |  02经济  | 06法治 |  -0.601174312108   | 06法治 |  -0.622255942669  |
|              【执法】锅炉清洁能源替代 将每半月通报一次.txt              | 06法治 |  06法治  | 01政治 |  -0.609382415811   | 03国际 |  -0.636830468611  |
|                 【伊朗】“核谈”前夕，美亮明六条“底线”.txt                | 03国际 |  03国际  | 03国际 |   0.301710740733   | 04文化 |  -0.806659094399  |
|                  【展览】一个人的展览，一世纪的印痕.txt                 | 04文化 |  04文化  | 04文化 |   -0.20053530516   | 06法治 |  -0.648154486055  |
|            [政治]【外交】【会见】刘延东会见刚果共和国总统.txt           | 01政治 |  01政治  | 03国际 |   0.487805412755   | 04文化 |  -0.646387915597  |
|               【军事】【美军】IS鼓动对美发动“独狼”袭击.txt              | 09军事 |  03国际  | 03国际 |   0.865499386127   | 06法治 |  -0.875571384249  |
|                  “留洋计划”落地 张呈栋成西甲第一人.txt                  | 08体育 |  08体育  | 01政治 |   0.409495013387   | 03国际 |  -0.850941478961  |
|                       【人大】重视备案审查工作.txt                      | 01政治 |  01政治  | 03国际 |   0.207965846315   | 01政治 |  -0.404567551015  |
|       【文化】【抗战】我国首次公布民国时期八路军新四军抗战档案.txt      | 09军事 |  09军事  | 03国际 |  -0.170593384041   | 04文化 |   -0.53987815594  |
|                    【上市】2014款雪佛兰迈锐宝上市.txt                   | 02经济 |  02经济  | 06法治 |   0.162539909818   | 01政治 |  -0.813251004538  |
|                       【涉嫌】郭美美被提起公诉.txt                      | 06法治 |  06法治  | 01政治 |   0.41585937982    | 06法治 |  -0.812274234854  |
|            【宣判】首个跨行政区划法院 第一槌判了“民告官”.txt            | 06法治 |  06法治  | 01政治 |   0.371470207039   | 06法治 |  -0.843725676837  |
|          【二审】驾照扣满12分依然上路 碰撞出人命保险不理赔.txt          | 06法治 |  06法治  | 01政治 |   0.960931949142   | 06法治 |  -0.877669863409  |
|                     【世界杯】“晚杰不保”的倒霉蛋.txt                    | 08体育 |  08体育  | 01政治 |  -0.192879374486   | 06法治 |  -0.702479144192  |
|                 【公务员】国考岗位增了 报考人数降了.txt                 | 01政治 |  01政治  | 03国际 |   0.259310874916   | 06法治 |  -0.770686190402  |
|                 【交易】平行进口诱惑大阿里开卖海淘车.txt                | 02经济 |  02经济  | 06法治 |  -0.182701769766   | 01政治 |  -0.711387080703  |
|                  【法院】携带5件行李  少女登机遭拒.txt                  | 06法治 |  06法治  | 01政治 |  0.0318908714829   | 04文化 |  -0.747287282548  |
|                   【产业互联网】网络时代招商拼什么.txt                  | 02经济 |  02经济  | 06法治 |  -0.0905305696294  | 04文化 |   -0.71673415328  |
|                       【《】【艺术】百年杜拉斯.txt                      | 04文化 |  04文化  | 04文化 |   0.624866215186   | 01政治 |  -0.822794880688  |
|                    【犯罪】刘汉刘维涉黑案继续开庭.txt                   | 06法治 |  06法治  | 01政治 |   0.368036499899   | 03国际 |  -0.830461685506  |
|                   【儿童】儿童白血病治愈率有望提升.txt                  | 05社会 |  05社会  | 06法治 |  -0.0932912277221  | 07科技 |  -0.546356080897  |
|                         上海大鲨鱼新年开门红.txt                        | 08体育 |  08体育  | 01政治 |   0.361596036657   | 04文化 |   -0.79393803815  |
|                   [政治]【外交】上海日惹签合作协议.txt                  | 01政治 |  04文化  | 04文化 |   0.392477174073   | 03国际 |  -0.686739625441  |
|                        世界极限运动大赛将揭幕.txt                       | 08体育 |  08体育  | 01政治 |   0.229569337318   | 04文化 |  -0.160004961987  |
|                 【锦标赛】“奥迪印象”系列讲座登陆申城.txt                | 08体育 |  08体育  | 01政治 |   0.258432510228   | 06法治 |  -0.0633473878195 |
|                   【中东】中东问题专家论“一带一路”.txt                  | 03国际 |  02经济  | 06法治 |   -0.14095690269   | 03国际 |   -0.42682654191  |
|                      “暖屋”邀请，敲开家门和心门.txt                     | 05社会 |  05社会  | 06法治 |   -0.38329403193   | 04文化 |  -0.429180244755  |
|                  【叙利亚】美称向土派战机保卫其领空.txt                 | 03国际 |  03国际  | 03国际 |   0.037528510005   | 03国际 |  -0.789024107661  |
|              [政治]【外交】【张高丽】张高丽晤捷克领导人.txt             | 01政治 |  01政治  | 03国际 |   1.22475556602    | 06法治 |  -0.932735137389  |
|               【《】【艺术】新水墨艺术亮相朱屺瞻艺术馆.txt              | 04文化 |  04文化  | 04文化 |   0.76984135103    | 07科技 |  -0.891666642653  |
|            [政治]【外交】【李克强】李克强同匈牙利总理通话.txt           | 01政治 |  01政治  | 03国际 |   0.936698275623   | 01政治 |  -0.944612099767  |
|              【文化】【抗战】关于抗战，你该知道这些事实.txt             | 09军事 |  09军事  | 03国际 |  -0.277108046043   | 03国际 |  -0.596108011249  |
|              【举办】【活动】捷豹路虎启动二手车置换活动.txt             | 04文化 |  04文化  | 04文化 |  -0.0922827606163  | 06法治 |  -0.379253703639  |
|          【一审】招远涉邪教故意杀人案 一审２人死刑１人无期.txt          | 06法治 |  06法治  | 01政治 |   0.309726126585   | 03国际 |  -0.761919077005  |
|                  【犯罪】查实：遵义市委书记严重违纪.txt                 | 06法治 |  06法治  | 01政治 |   0.652914903976   | 03国际 |  -0.834522658232  |
|              【90后】手机贷：面向“90后”的在线信用卡中心.txt             | 05社会 |  02经济  | 06法治 |  -0.563446765571   | 06法治 |  -0.563655898819  |
|                      “打新”这道菜 还是那么香？.txt                      | 02经济 |  02经济  | 06法治 |  -0.399776731674   | 06法治 |  -0.579765447548  |
|                  【中医】让教授从“都上课”到“上好课”.txt                 | 05社会 |  05社会  | 06法治 |  -0.320843095508   | 04文化 |  -0.616068880263  |
|               【国际】【政治】迈出这一步  足足用了65年.txt              | 03国际 |  01政治  | 03国际 |  -0.150855317168   | 03国际 |  -0.543020977113  |
|                   【终端】看那些“黑科技”就像变魔法.txt                  | 07科技 |  07科技  | 07科技 |   -0.3690520587    | 06法治 |  -0.514727417451  |
|                     【快堆】我国掌握快堆核心技术.txt                    | 07科技 |  07科技  | 07科技 |  -0.420266462864   | 06法治 |  -0.620169525062  |
|                 【90后】网络时代，实体店怎么“刷颜值”.txt                | 05社会 |  05社会  | 06法治 |  -0.568766374964   | 06法治 |   -0.57832716977  |
|         【俞正声】切实维护团结稳定大局 继续抓好对口援疆工作.txt         | 01政治 |  01政治  | 03国际 |   0.348712701379   | 06法治 |  -0.594653154317  |
|                   【文化】103岁杨绛写《洗澡之后》.txt                   | 04文化 |  04文化  | 04文化 |  -0.363917833803   | 06法治 |  -0.671951280754  |
|                 【上市】【车】“中级车A咖”荣威360上市.txt                | 02经济 |  02经济  | 06法治 |  -0.153429407359   | 06法治 |  -0.763386505817  |
|                   【大师赛】小德：他是最好的费德勒.txt                  | 08体育 |  08体育  | 01政治 |   0.161924788302   | 04文化 |  -0.688623777372  |
|                  【文化】《于无声处》属于光荣的1978.txt                 | 04文化 |  04文化  | 04文化 |  -0.348144636519   | 06法治 |   -0.67567169519  |
|             【俄罗斯】俄坚决谴责暴恐案  希望加强反恐合作.txt            | 03国际 |  01政治  | 03国际 |   0.668070505749   | 03国际 |  -0.221049094864  |
|                      “启航·青年艺术家”周五启幕.txt                      | 04文化 |  04文化  | 04文化 |   0.179616632765   | 01政治 |  -0.744895495367  |
|                  [政治]【外交】深化合作实现共同发展.txt                 | 01政治 |  01政治  | 03国际 |   0.228818829964   | 06法治 |  -0.223555206824  |
|              【奥巴马】【美国】奥巴马为吸引外资出新举措.txt             | 03国际 |  03国际  | 03国际 |  -0.109112544087   | 06法治 |  -0.408367027316  |
|                   【举办】【活动】食住行办公全免费.txt                  | 04文化 |  05社会  | 06法治 |  -0.246431198608   | 04文化 |  -0.556487046264  |
|                 【马拉松】“550乡村马拉松”横沙站举行.txt                 | 08体育 |  08体育  | 01政治 |  -0.0976841551906  | 06法治 |  -0.461340647768  |
|                       【企业】欣闻“海鸥”再振翅.txt                      | 02经济 |  02经济  | 06法治 |  -0.435698845073   | 06法治 |  -0.701447952644  |
|                   【辽宁舰】辽宁舰完成训练返航青岛.txt                  | 09军事 |  09军事  | 03国际 |  -0.407437350865   | 07科技 |  -0.674927147172  |
|                    【影视】“亲子阅读推广计划”启动.txt                   | 04文化 |  04文化  | 04文化 |  0.0735096801507   | 06法治 |  -0.505010418435  |
|                【传感】万元买来照相机 拍出相片总有灰.txt                | 07科技 |  06法治  | 01政治 |  -0.0860190242869  | 06法治 |  -0.692813974455  |
|                     【上市】【车】全新Mazda CX-5.txt                    | 02经济 |  02经济  | 06法治 |   0.499819948072   | 06法治 |  -0.792781189159  |
|                   【上交所】上交所“铺路”可交换债券.txt                  | 02经济 |  02经济  | 06法治 |  -0.533399138049   | 01政治 |  -0.591912499516  |
|                 【部队】专用红绿灯让战力驶上“快车道”.txt                | 09军事 |  09军事  | 03国际 |  -0.509218307316   | 06法治 |  -0.613619537168  |
|                 【大师赛】青少年网球嘉年华夏令营开营.txt                | 08体育 |  08体育  | 01政治 |   0.512725987825   | 04文化 | -0.00609175099068 |
|                       “减龄秘方”，这样吃老得慢.txt                      | 05社会 |  05社会  | 06法治 |  -0.435228973812   | 04文化 |  -0.720840186172  |
|              【国际】【南美】加强金砖同南美两大市场对接.txt             | 03国际 |  01政治  | 03国际 |   0.257348317302   | 06法治 |  -0.651230095959  |
|                 【涉嫌】拒绝安检掌掴民警还摔警用电台.txt                | 06法治 |  06法治  | 01政治 |   0.097637786381   | 06法治 |  -0.698740431351  |
|                   【俄罗斯】女伴忆涅姆佐夫遇害一刻.txt                  | 03国际 |  03国际  | 03国际 |  -0.164636549397   | 01政治 |   -0.60173477819  |
|                           【联赛】联赛为本.txt                          | 08体育 |  08体育  | 01政治 |   0.751326475854   | 06法治 |  -0.915941963952  |
|                      【北约】北约新掌门正式履新.txt                     | 03国际 |  03国际  | 03国际 |  -0.373641740371   | 03国际 |  -0.697033786241  |
|                  【中央】新疆生产建设兵团成立60周年.txt                 | 01政治 |  01政治  | 03国际 |  0.0812070772547   | 03国际 |  -0.773679670708  |
|                    【低碳】“无车日”低碳一日游举行.txt                   | 05社会 |  05社会  | 06法治 |  -0.422166106092   | 04文化 |   -0.64195059209  |
|                【儿童】沃尔沃集团 交通安全小课堂开班.txt                | 05社会 |  05社会  | 06法治 |  -0.407978389693   | 04文化 |  -0.499086835803  |
|                    【法院】暴恐案定罪处罚标准明确.txt                   | 06法治 |  06法治  | 01政治 |  0.0343909002344   | 03国际 |  -0.538687237258  |
|             【上汽大通】上汽大通  首批快递专用车在沪交付.txt            | 02经济 |  02经济  | 06法治 |    0.1614762084    | 07科技 |  -0.525602491555  |
|                    【企业】企业“私人订制”助残就业.txt                   | 02经济 |  02经济  | 06法治 |  -0.468774270078   | 06法治 |  -0.475421443826  |
|                    【法院】“工作可以让我忘掉疾病”.txt                   | 06法治 |  06法治  | 01政治 |   -0.24707331109   | 06法治 |  -0.573539439354  |
|        【东欧】【俄罗斯+乌克兰】如何对付俄“入侵”，欧盟伤脑筋.txt        | 03国际 |  03国际  | 03国际 |   0.832993346097   | 03国际 |  -0.789995781617  |
|                【伊斯兰国】“伊斯兰国”又斩首一英国人质.txt               | 03国际 |  03国际  | 03国际 |   0.681084581746   | 01政治 |  -0.831980246755  |
|            [政治]【外交】【李克强】李克强张德江分晤阿总统.txt           | 01政治 |  01政治  | 03国际 |   0.979738853702   | 06法治 |  -0.977997075086  |
|                 【科普】三方合力提高公众自然保护意识.txt                | 07科技 |  04文化  | 04文化 |   0.495752368957   | 03国际 |  -0.716969576975  |
|                    【伊拉克】伊逊尼派愿有条件入阁.txt                   | 03国际 |  03国际  | 03国际 |   0.422491112927   | 06法治 |   -0.82585557833  |
|                     【公安局】不满延误冲闯停机坪.txt                    | 06法治 |  06法治  | 01政治 |  -0.202141815769   | 03国际 |  -0.367473956165  |
|                       【军事】【人物】不是童话.txt                      | 09军事 |  05社会  | 06法治 |  -0.571612238104   | 04文化 |  -0.671127729102  |
|                     中国足球，应该定格怎样的画面.txt                    | 08体育 |  08体育  | 01政治 |   0.74876502871    | 01政治 |  -0.719280132611  |
